#cm^-1	mean 221006CaF2
1609	9.94E-05
1610	0.000100716
1611	9.33E-05
1612	0.000100848
1613	9.69E-05
1614	8.72E-05
1615	8.45E-05
1616	9.11E-05
1617	9.42E-05
1618	9.31E-05
1619	8.91E-05
1620	8.86E-05
1621	8.75E-05
1622	8.55E-05
1623	8.32E-05
1624	8.80E-05
1625	8.62E-05
1626	8.11E-05
1627	8.29E-05
1628	8.24E-05
1629	8.38E-05
1630	8.56E-05
1631	7.67E-05
1632	8.47E-05
1633	7.84E-05
1634	7.35E-05
1635	8.04E-05
1636	7.81E-05
1637	7.81E-05
1638	7.81E-05
1639	7.98E-05
1640	8.27E-05
1641	7.96E-05
1642	9.09E-05
1643	8.82E-05
1644	8.48E-05
1645	8.31E-05
1646	8.58E-05
1647	9.35E-05
1648	9.73E-05
1649	8.54E-05
1650	8.07E-05
1651	7.86E-05
1652	7.85E-05
1653	9.42E-05
1654	8.77E-05
1655	8.99E-05
1656	9.38E-05
1657	8.68E-05
1658	8.18E-05
1659	8.86E-05
1660	8.47E-05
1661	8.47E-05
1662	7.81E-05
1663	8.36E-05
1664	7.89E-05
1665	8.25E-05
1666	8.39E-05
1667	8.52E-05
1668	8.85E-05
1669	8.51E-05
1670	8.11E-05
1671	8.39E-05
1672	8.83E-05
1673	8.62E-05
1674	8.35E-05
1675	8.97E-05
1676	8.67E-05
1677	8.71E-05
1678	8.47E-05
1679	8.82E-05
1680	8.39E-05
1681	9.22E-05
1682	8.40E-05
1683	8.21E-05
1684	8.23E-05
1685	8.48E-05
1686	8.46E-05
1687	9.11E-05
1688	8.61E-05
1689	8.56E-05
1690	8.32E-05
1691	8.52E-05
1692	9.28E-05
1693	9.03E-05
1694	7.92E-05
1695	8.91E-05
1696	8.72E-05
1697	9.30E-05
1698	8.53E-05
1699	8.14E-05
1700	8.76E-05
1701	8.59E-05
1702	8.99E-05
1703	7.95E-05
1704	8.47E-05
1705	8.54E-05
1706	8.74E-05
1707	9.01E-05
1708	8.45E-05
1709	8.06E-05
1710	8.74E-05
1711	8.99E-05
1712	9.18E-05
1713	9.18E-05
1714	9.00E-05
1715	8.81E-05
1716	8.65E-05
1717	8.81E-05
1718	8.12E-05
1719	8.33E-05
1720	8.66E-05
1721	8.52E-05
1722	8.97E-05
1723	8.61E-05
1724	8.44E-05
1725	8.53E-05
1726	8.51E-05
1727	9.61E-05
1728	8.61E-05
1729	8.82E-05
1730	8.65E-05
1731	8.52E-05
1732	8.10E-05
1733	8.06E-05
1734	8.35E-05
1735	8.41E-05
1736	8.26E-05
1737	8.61E-05
1738	8.29E-05
1739	8.45E-05
1740	8.93E-05
1741	8.39E-05
1742	8.09E-05
1743	8.63E-05
1744	8.26E-05
1745	8.11E-05
1746	9.19E-05
1747	8.48E-05
1748	8.97E-05
1749	8.80E-05
1750	8.08E-05
1751	8.61E-05
1752	8.80E-05
1753	8.61E-05
1754	8.54E-05
1755	9.14E-05
1756	8.43E-05
1757	8.33E-05
1758	9.18E-05
1759	9.09E-05
1760	8.68E-05
1761	8.27E-05
1762	8.70E-05
1763	8.50E-05
1764	8.64E-05
1765	9.06E-05
1766	8.68E-05
1767	8.20E-05
1768	8.88E-05
1769	8.98E-05
1770	8.50E-05
1771	8.31E-05
1772	9.08E-05
1773	9.19E-05
1774	8.06E-05
1775	8.42E-05
1776	8.09E-05
1777	8.51E-05
1778	8.31E-05
1779	8.81E-05
1780	8.57E-05
1781	8.31E-05
1782	8.42E-05
1783	8.32E-05
1784	8.34E-05
1785	8.10E-05
1786	8.14E-05
1787	8.53E-05
1788	8.55E-05
1789	8.56E-05
1790	9.30E-05
1791	8.32E-05
1792	8.35E-05
1793	8.67E-05
1794	8.78E-05
1795	8.23E-05
1796	8.54E-05
1797	8.56E-05
1798	8.84E-05
1799	8.84E-05
1800	8.96E-05
1801	8.74E-05
1802	8.58E-05
1803	8.72E-05
1804	8.73E-05
1805	9.49E-05
1806	8.73E-05
1807	8.19E-05
1808	8.33E-05
1809	8.33E-05
1810	8.88E-05
1811	8.24E-05
1812	8.83E-05
1813	8.10E-05
1814	9.15E-05
1815	8.35E-05
1816	8.60E-05
1817	8.74E-05
1818	8.87E-05
1819	9.01E-05
1820	8.11E-05
1821	8.49E-05
1822	8.34E-05
1823	7.99E-05
1824	8.27E-05
1825	8.36E-05
1826	8.18E-05
1827	8.57E-05
1828	8.55E-05
1829	8.34E-05
1830	8.32E-05
1831	8.68E-05
1832	8.87E-05
1833	8.35E-05
1834	8.51E-05
1835	8.70E-05
1836	8.55E-05
1837	9.46E-05
1838	8.35E-05
1839	8.52E-05
1840	8.34E-05
1841	8.45E-05
1842	8.80E-05
1843	8.45E-05
1844	8.57E-05
1845	8.02E-05
1846	8.51E-05
1847	8.41E-05
1848	8.88E-05
1849	8.26E-05
1850	8.52E-05
1851	8.49E-05
1852	8.38E-05
1853	8.09E-05
1854	8.45E-05
1855	7.98E-05
1856	8.26E-05
1857	8.52E-05
1858	7.99E-05
1859	8.42E-05
1860	8.36E-05
1861	8.72E-05
1862	8.35E-05
1863	8.28E-05
1864	8.19E-05
1865	8.70E-05
1866	8.38E-05
1867	8.18E-05
1868	8.66E-05
1869	8.93E-05
1870	8.88E-05
1871	8.33E-05
1872	8.31E-05
1873	8.85E-05
1874	8.98E-05
1875	8.38E-05
1876	8.78E-05
1877	8.53E-05
1878	8.45E-05
1879	8.48E-05
1880	8.00E-05
1881	8.70E-05
1882	8.61E-05
1883	8.47E-05
1884	7.71E-05
1885	8.23E-05
1886	8.17E-05
1887	8.06E-05
1888	8.35E-05
1889	8.54E-05
1890	8.76E-05
